	lig	adj_sint
kemisk	kjemisk	adj_sint
kinesisk	kinesisk	adj_sint
kirurgisk	kirurgisk	adj_sint
klar	klar	adj_sint
klassisk	klassisk	adj_sint
klatschig	flott	adj_sint
klentrogen	skeptisk	adj_sint
klok	klok	adj_sint
klossig	klosset	adj_sint
klossig	tomsete	adj_sint
klyftig	kløktig	adj_sint
knälång	knelang	adj_sint
kolossal	kolossal	adj_sint
komfortabel	komfortabel	adj_sint
komisk	komisk	adj_sint
kommersiell	kommersiell	adj_sint
kommunal	kommunal	adj_sint
kommunistisk	kommunistisk	adj_sint
kompetent	kompetent	adj_sint
komplett	fullstendig	adj_sint
komplett	komplett	adj_sint
konkret	konkret	adj_sint
konkurrenskraftig	konkurransedyktig	adj_sint
konsekvent	konsekvent	adj_sint
konservativ	konservativ	adj_sint
konstant	konstant	adj_sint
konstgjord	kunstig	adj_sint
konstgjord	tilgjort	adj_sint
konstlad	kunstig	adj
konstlad	tilgjort	adj
konsulär	konsulær	adj_sint
kontinental	kontinental	adj_sint
kontinuerlig	kontinuerlig	adj_sint
konventionell	konvensjonell	adj_sint
koreansk	koreansk	adj_sint
korrekt	korrekt	adj_sint
korrupt	korrupt	adj_sint
kort	kort	adj_sint
kostbar	dyr	adj_sint
kraftig	kraftig	adj_sint
kraftvunnen	rettskraftig	adj_sint
kreativ	kreativ	adj_sint
kriminalpolitisk	kriminalpolitisk	adj
kriminell	kriminell	adj_sint
kristen	kristen	adj_sint
kristlig	kristelig	adj_sint
kritisk	kritisk	adj_sint
kroatisk	kroatisk	adj_sint
krokig	krokete	adj_sint
kruserlig	omstendelig	adj_sint
kry	alvorlig	adj_sint
kräslig	overdådig	adj_sint
kulturell	kulturell	adj_sint
kulturhistorisk	kulturell	adj_sint
kulturhistorisk	kulturhistorisk	adj_sint
kunglig	kongelig	adj_sint
kunnig	dugelig	adj_sint
kunnig	dyktig	adj_sint
kunnig	flink	adj_sint
kuslig	uhyggelig	adj_sint
kvadratisk	firkantet	adj_sint
kverulantisk	krakilsk	adj_sint
kvinnlig	kvinnelig	adj_sint
kvistfri	kvistfri	adj_sint
kynisk	kynisk	adj_sint
kyrklig	kirkelig	adj_sint
käck	kjekk	adj_sint
känd	kjent	adj_sint
känslig	følsom	adj_sint
kär	kjær	adj_sint
kärkommen	kjærkommen	adj_sint
kärv	bitter	adj_sint
könlös	kjønnsløs	adj_sint
könslig	kjønnslig	adj_sint
lam	lam	adj_sint
lat	lat	adj_sint
latinsk	latinsk	adj_sint
led	lei	adj_sint
ledig	ledig	adj_sint
ledsam	kjedelig	adj_sint
ledsam	trasig	adj_sint
ledsen	lei	adj_sint
ledsen	stur	adj_sint
ledsen	trist	adj_sint
